dataset,ranks,threads,total_cores,time_sec,iterations,error_norm,n_samples,speedup,efficiency
hybrid,1,1,1,101.3,4311.0,0.010793,1,1.0,1.0
hybrid,1,2,2,92.06,4311.0,0.010793,1,1.1003693243536823,0.5501846621768411
hybrid,2,1,2,51.44,3537.0,0.00975421,1,1.969284603421462,0.984642301710731
hybrid,1,4,4,91.99,4311.0,0.010793,1,1.101206652897054,0.2753016632242635
hybrid,2,2,4,47.46,3537.0,0.00975421,1,2.1344289928360722,0.5336072482090181
hybrid,4,1,4,20.89,2062.0,0.0106451,1,4.849210148396361,1.2123025370990903
hybrid,1,8,8,89.56,4311.0,0.010793,1,1.1310853059401518,0.14138566324251897
hybrid,2,4,8,43.71,3537.0,0.00975421,1,2.3175474719743763,0.28969343399679703
hybrid,4,2,8,17.83,2062.0,0.0106451,1,5.681435782389232,0.710179472798654
hybrid,8,1,8,40.09,4918.0,0.0109139,1,2.5268146669992513,0.3158518333749064
hybrid,1,16,16,85.79,4311.0,0.010793,1,1.1807903018999881,0.07379939386874926
hybrid,2,8,16,41.3,3537.0,0.00975421,1,2.4527845036319613,0.15329903147699758
hybrid,4,4,16,15.38,2062.0,0.0106451,1,6.586475942782834,0.41165474642392713
hybrid,8,2,16,31.39,4918.0,0.0109139,1,3.227142402038866,0.20169640012742912
hybrid,16,1,16,31.73,5052.0,0.0112438,1,3.192562243933186,0.19953514024582414
hybrid,1,32,32,83.42,4311.0,0.010793,1,1.2143370894269958,0.03794803404459362
hybrid,2,16,32,34.04,3537.0,0.00975421,1,2.9759106933019974,0.09299720916568742
hybrid,4,8,32,11.09,2062.0,0.0106451,1,9.134355275022543,0.28544860234445446
hybrid,8,4,32,14.61,4918.0,0.0109139,1,6.933607118412047,0.21667522245037646
hybrid,16,2,32,11.0,5052.0,0.0112438,1,9.209090909090909,0.2877840909090909
hybrid,32,1,32,8.101,4173.0,0.0113333,1,12.504629058140969,0.3907696580669053
hybrid,1,64,64,85.23,4311.0,0.010793,1,1.1885486331104071,0.01857107239235011
hybrid,2,32,64,32.26,3537.0,0.00975421,1,3.1401115933044017,0.04906424364538128
hybrid,4,16,64,9.538,2062.0,0.0106451,1,10.620675193960997,0.16594804990564058
hybrid,8,8,64,11.91,4918.0,0.0109139,1,8.50545759865659,0.13289777497900923
hybrid,16,4,64,6.324,5052.0,0.0112438,1,16.01834282099937,0.25028660657811513
hybrid,32,2,64,3.18,4173.0,0.0113333,1,31.855345911949684,0.4977397798742138
hybrid,64,1,64,2.471,5150.0,0.0124511,1,40.99554836098745,0.6405554431404289
hybrid,1,128,128,87.31,4311.0,0.010793,1,1.1602336502118886,0.00906432539228038
hybrid,2,64,128,32.68,3537.0,0.00975421,1,3.0997552019583843,0.024216837515299877
hybrid,4,32,128,9.562,2062.0,0.0106451,1,10.594017987868646,0.0827657655302238
hybrid,8,16,128,11.46,4918.0,0.0109139,1,8.839441535776613,0.06905813699825479
hybrid,16,8,128,5.989,5052.0,0.0112438,1,16.914342962097177,0.1321433043913842
hybrid,32,4,128,2.655,4173.0,0.0113333,1,38.154425612052734,0.298081450094162
hybrid,64,2,128,2.045,5150.0,0.0124511,1,49.53545232273839,0.38699572127139364
hybrid,128,1,128,1.729,6567.0,0.0138394,1,58.588779641411215,0.4577248409485251
mpi_only,1,1,1,154.3,4311.0,,3,1.0,1.0
mpi_only,2,1,2,68.04,3537.0,,3,2.2677836566725453,1.1338918283362727
mpi_only,4,1,4,25.18,2062.0,,3,6.127879269261319,1.5319698173153298
mpi_only,8,1,8,41.93,4918.0,,3,3.679942761745767,0.45999284521822087
mpi_only,16,1,16,20.14,5052.0,,3,7.661370407149951,0.47883565044687193
mpi_only,32,1,32,8.656,4173.0,,3,17.825785582255083,0.5570557994454713
mpi_only,64,1,64,3.138,5150.0,,3,49.17144678138943,0.7683038559592098
mpi_only,128,1,128,2.15,6567.0,,3,71.76744186046513,0.5606831395348838
