source_csv,timestamp,jobid,nodelist,nodes,ranks,ranks_per_node,threads,total_cores,rep,time_sec,iterations,error_norm,logfile
fixed128_ex2_arch-omp-opt_nodes1_m800_n800_job13302680.csv,2026-04-16T12:59:54+01:00,13302680,nid005379,1,128,128,1,128,1,3.725,6567,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes1_r128_rpn128_t1_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes1_m800_n800_job13302812.csv,2026-04-16T13:09:12+01:00,13302812,nid004324,1,128,128,1,128,1,5.26,6567,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes1_r128_rpn128_t1_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes2_m800_n800_job13302681.csv,2026-04-16T13:00:06+01:00,13302681,"nid[002681,002700]",2,128,64,1,128,1,4.144,6571,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes2_r128_rpn64_t1_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes2_m800_n800_job13302815.csv,2026-04-16T13:09:13+01:00,13302815,"nid[003972,003995]",2,128,64,1,128,1,4.559,6571,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes2_r128_rpn64_t1_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes4_m800_n800_job13302682.csv,2026-04-16T13:00:09+01:00,13302682,"nid[002025,002029,002067,002137]",4,128,32,1,128,1,4.46,6615,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes4_r128_rpn32_t1_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes4_m800_n800_job13302818.csv,2026-04-16T13:09:17+01:00,13302818,"nid[002217,005636,005643,005645]",4,128,32,1,128,1,4.741,6615,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes4_r128_rpn32_t1_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes1_m800_n800_job13302680.csv,2026-04-16T12:59:57+01:00,13302680,nid005379,1,64,64,2,128,1,2.053,5150,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes1_r64_rpn64_t2_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes1_m800_n800_job13302812.csv,2026-04-16T13:09:16+01:00,13302812,nid004324,1,64,64,2,128,1,2.052,5150,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes1_r64_rpn64_t2_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes2_m800_n800_job13302681.csv,2026-04-16T13:00:10+01:00,13302681,"nid[002681,002700]",2,64,32,2,128,1,1.971,4974,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes2_r64_rpn32_t2_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes2_m800_n800_job13302815.csv,2026-04-16T13:09:17+01:00,13302815,"nid[003972,003995]",2,64,32,2,128,1,1.957,4974,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes2_r64_rpn32_t2_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes4_m800_n800_job13302682.csv,2026-04-16T13:00:13+01:00,13302682,"nid[002025,002029,002067,002137]",4,64,16,2,128,1,1.809,5128,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes4_r64_rpn16_t2_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes4_m800_n800_job13302818.csv,2026-04-16T13:09:21+01:00,13302818,"nid[002217,005636,005643,005645]",4,64,16,2,128,1,1.858,5128,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes4_r64_rpn16_t2_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes1_m800_n800_job13302680.csv,2026-04-16T13:00:03+01:00,13302680,nid005379,1,32,32,4,128,1,2.724,4173,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes1_r32_rpn32_t4_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes1_m800_n800_job13302812.csv,2026-04-16T13:09:20+01:00,13302812,nid004324,1,32,32,4,128,1,2.666,4173,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes1_r32_rpn32_t4_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes2_m800_n800_job13302681.csv,2026-04-16T13:00:14+01:00,13302681,"nid[002681,002700]",2,32,16,4,128,1,2.762,4326,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes2_r32_rpn16_t4_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes2_m800_n800_job13302815.csv,2026-04-16T13:09:28+01:00,13302815,"nid[003972,003995]",2,32,16,4,128,1,2.755,4326,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes2_r32_rpn16_t4_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes4_m800_n800_job13302682.csv,2026-04-16T13:00:17+01:00,13302682,"nid[002025,002029,002067,002137]",4,32,8,4,128,1,2.64,4230,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes4_r32_rpn8_t4_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes4_m800_n800_job13302818.csv,2026-04-16T13:09:29+01:00,13302818,"nid[002217,005636,005643,005645]",4,32,8,4,128,1,2.663,4230,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes4_r32_rpn8_t4_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes1_m800_n800_job13302680.csv,2026-04-16T13:00:10+01:00,13302680,nid005379,1,16,16,8,128,1,6.015,5052,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes1_r16_rpn16_t8_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes1_m800_n800_job13302812.csv,2026-04-16T13:09:31+01:00,13302812,nid004324,1,16,16,8,128,1,6.042,5052,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes1_r16_rpn16_t8_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes2_m800_n800_job13302681.csv,2026-04-16T13:00:22+01:00,13302681,"nid[002681,002700]",2,16,8,8,128,1,5.997,5076,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes2_r16_rpn8_t8_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes2_m800_n800_job13302815.csv,2026-04-16T13:09:37+01:00,13302815,"nid[003972,003995]",2,16,8,8,128,1,6.093,5076,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes2_r16_rpn8_t8_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes4_m800_n800_job13302682.csv,2026-04-16T13:00:27+01:00,13302682,"nid[002025,002029,002067,002137]",4,16,4,8,128,1,6.034,5076,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes4_r16_rpn4_t8_p128_m800_n800_rep1.log
fixed128_ex2_arch-omp-opt_nodes4_m800_n800_job13302818.csv,2026-04-16T13:09:37+01:00,13302818,"nid[002217,005636,005643,005645]",4,16,4,8,128,1,5.942,5076,error,/work/m25oc/m25oc/s2795693/petsc_omp/runs/fixed128_multinode/ex2_arch-omp-opt_nodes4_r16_rpn4_t8_p128_m800_n800_rep1.log
